,sax_X_std,sax_Y_std,sax_a,sax_s,sax_o,sax_dir,qbSneak,time,week,norm_o,o_minus_dir,quarter,down,yardsToGo,yardlineSide,yardlineNumber,preSnapHomeScore,preSnapVisitorScore,absoluteYardlineNumber,preSnapHomeTeamWinProbability,expectedPoints,weight,position,age,time_diff,distance,height_inches,possessionTeam_ATL,possessionTeam_CAR,possessionTeam_NO,possessionTeam_TB,defensiveTeam_ATL,defensiveTeam_CAR,defensiveTeam_CIN,defensiveTeam_CLE,defensiveTeam_LA,defensiveTeam_LAC,defensiveTeam_NO,defensiveTeam_NYG,defensiveTeam_SEA,defensiveTeam_SF,defensiveTeam_TB,offenseFormation_EMPTY,offenseFormation_I_FORM,offenseFormation_JUMBO,offenseFormation_PISTOL,offenseFormation_SHOTGUN,offenseFormation_SINGLEBACK,offenseFormation_WILDCAT,receiverAlignment_1x1,receiverAlignment_2x0,receiverAlignment_2x1,receiverAlignment_2x2,receiverAlignment_3x1,receiverAlignment_3x2,receiverAlignment_4x1,pff_defensiveCoverageAssignment_2L,pff_defensiveCoverageAssignment_3L,pff_defensiveCoverageAssignment_3M,pff_defensiveCoverageAssignment_3R,pff_defensiveCoverageAssignment_4IL,pff_defensiveCoverageAssignment_4IR,pff_defensiveCoverageAssignment_4OR,pff_defensiveCoverageAssignment_CFL,pff_defensiveCoverageAssignment_CFR,pff_defensiveCoverageAssignment_DF,pff_defensiveCoverageAssignment_FL,pff_defensiveCoverageAssignment_FR,pff_defensiveCoverageAssignment_HCL,pff_defensiveCoverageAssignment_HCR,pff_defensiveCoverageAssignment_HOL,pff_defensiveCoverageAssignment_MAN,pff_defensiveCoverageAssignment_PRE,playOutcome,gameClock_min,gameClock_sec
180,abdelgijjj,abndekigim,onligedbaj,noljidebag,nmkadiheeb,abgenljido,0.0,-1.2918022448709812,-1.2869339485511535,143.43,-90.48,-1.3396605714005956,-0.993407559020739,0.4151395187057281,ATL,25,-1.1722057584778314,-0.9114526062971643,35,-1.2213775003032767,-0.5249495316482471,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,0.19990288921056712,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,None,1.8021632652021349,-1.6459458222586574
181,ailkegeedb,aobednligj,jmhgecaaal,mljgecaaah,onldbgaeij,edgnlbaijo,0.0,-1.2917773264610963,-1.2869339485511535,109.04,-50.43000000000001,-1.3396605714005956,-0.993407559020739,0.4151395187057281,ATL,36,-1.1722057584778314,-0.9114526062971643,46,-1.151550716426826,-0.0819006345636451,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.1446450553109326,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Rush,1.5814023035251477,-0.5573745672726707
182,abdegknmii,abdoneijlg,lnojdieabg,onlijgeabd,badegijlno,dbaeigonlj,,-1.2917492099665204,-1.2869339485511535,85.81,-17.409999999999997,-1.3396605714005956,0.25639601847211035,-1.1611233768773321,ATL,42,-1.1722057584778314,-0.9114526062971643,52,-1.1241789158452722,0.0127675712968249,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.3689385874590017,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,FLAT,1.3606413418481609,0.9322492553397321
183,abojnliged,adbjegilnl,jlmhecaaag,mlhgjeaaac,oenijlgdab,bajdeinolg,,-1.2917272231342694,-1.2869339485511535,122.02,-59.42999999999999,-1.3396605714005956,1.5061995959649597,-1.1611233768773321,ATL,42,-1.1722057584778314,-0.9114526062971643,52,-1.1508812147861627,-0.6450891388498328,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.572887571651482,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CROSS,1.3606413418481609,0.7030763595532086
184,ajhbbbddfh,ajfbiffdbf,hecaaaaaag,hgcaaaaaae,gaindbejlo,adlnojegib,0.0,-1.2917005724285102,-1.2869339485511535,93.29,-91.42,-1.3396605714005956,-0.993407559020739,0.4151395187057281,ATL,47,-1.1722057584778314,-0.9114526062971643,57,-1.0344502758607879,0.385384315367409,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,-1.0246113873430864,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,None,1.1398803801711739,1.6197679426993026
185,abngdeijll,ajbdghhddh,khfecaaaaj,kjefcaaaah,eoanbijdlg,bigljnaedo,,-1.291673921722751,-1.2869339485511535,84.64,-17.019999999999996,-1.3396605714005956,0.25639601847211035,-0.11028144648862533,ATL,49,-1.1722057584778314,-0.9114526062971643,59,-1.024342550378451,0.12430692590123903,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.0983435797198564,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,None,1.1398803801711739,-0.6146677912193016
186,amgljdddhb,abmkideggk,mlhgecaaaj,mljgecaaah,nolejigdba,abenigjldo,,-1.291646071735233,-1.2869339485511535,86.92,-26.450000000000003,-1.3396605714005956,-0.993407559020739,0.4151395187057281,NO,40,-1.1722057584778314,-0.9114526062971643,70,-0.9225186524611959,0.8933095239536807,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.1446450553108556,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,SCREEN,0.919119418494187,0.4739034637666851
187,abjdheehhh,abdkegiikm,hjfecaaaak,kjfecaaaah,nmabdegjji,daelgijbno,0.0,-1.2916192211491806,-1.2869339485511535,108.25,-36.03,-1.3396605714005956,0.25639601847211035,0.4151395187057281,NO,40,-1.1722057584778314,-0.9114526062971643,70,-0.9724789262518304,0.5358957357671275,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.494661394439901,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,None,0.919119418494187,0.30202379192679246
188,abedgggiii,aifhdbdddd,ejgccaaaai,kjfecaaaah,onadeljigb,dbnogjieal,,-1.2915921706828353,-1.2869339485511535,150.66,-93.64,-1.3396605714005956,1.5061995959649597,-0.8984128942801555,NO,35,-1.1722057584778314,-0.9114526062971643,75,-0.9670238613530364,0.4746976640194241,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,1.5464772189426925,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,None,0.6983584568172,1.44788827085941
189,dabeegeggi,dimmkehbea,ieaaaaagdj,ieaaaaagdj,adgejlinob,jilndageob,0.0,-1.2911937426317373,-1.2869339485511535,83.52,222.29,-1.3396605714005956,-0.993407559020739,0.4151395187057281,ATL,21,-0.8730950988565604,-0.9114526062971643,31,-0.7424707384900721,-0.73290991734978,0.6986396931015829,T,0.35678961684423854,-0.003332881631544779,-0.984361289521812,0.6393393540372085,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,None,0.4775974951402131,-0.901133910952456
